,ID,Unnamed: 0,Cuisine,Ingredients,veg,vegan,dessert,spicy,drink,alcohol
0,38988,185,thai,"['fish sauce', 'basil', 'cilantro leaves', 'sweet chili sauce', 'vegetable oil', 'red chili flakes', 'rice noodles', 'beansprouts', 'lime', 'steak']",0,0,0,1,0,0
1,39169,178,thai,"['sake', 'oyster sauce', 'brown sugar', 'vegetable oil', 'spinach', 'garlic', 'shrimp', 'chili paste', 'bell pepper']",0,0,0,1,0,1
2,20852,184,thai,"['potato', 'coconut milk', 'cilantro', 'bell pepper', 'red curry paste', 'bell pepper', 'vegetable oil', 'salt', 'brown sugar', 'cauliflower', 'onions']",1,1,0,1,0,0
3,7045,182,thai,"['brown sugar', 'vegetable stock', 'tamarind', 'onion', 'eggs', 'soy sauce', 'lime', 'peanuts', 'peanut oil', 'chili flakes', 'coriander', 'rice noodles', 'sauce', 'beansprouts', 'onions', 'bok choy', 'black pepper', 'garlic', 'chili sauce']",1,0,0,1,0,0
4,3125,181,thai,"['Sriracha', 'sesame oil', 'snow peas', 'garlic', 'teriyaki sauce', 'spaghetti', 'lime', 'water', 'shrimp', 'peanuts', 'peanut butter', 'cilantro']",0,0,0,1,0,0
5,44706,127,korean,"['rice', 'water']",1,0,0,0,0,0
6,41513,124,korean,"['vodka', ' flour', 'water', 'sweet soy sauce', 'corn starch', 'salt', 'peanut oil', 'chicken', 'baking powder']",0,0,0,0,0,1
7,47889,125,korean,"['sugar', 'anchovy', 'radishes', 'ginger', 'salt', 'chile flakes', 'garlic']",1,1,0,1,0,0
8,40896,126,korean,"['bok choy', 'sesame seeds', 'sesame oil', 'rice', 'eggs', 'strip steaks', 'miso paste', 'chili paste', 'soy sauce', 'shiitake', 'vegetable oil', 'spinach', 'beans', 'zucchini', 'carrots']",0,0,0,1,0,0
9,17695,112,japanese,"['gari', 'vegetable oil', 'scallions', 'sugar', 'water', 'rice wine vinegar', 'shiso', 'rice', 'seeds', 'avocado', 'toasted nori', 'wasabi paste', 'cucumber', 'salt', 'carrots']",1,0,0,1,0,0
10,19139,111,japanese,"['sugar', 'cilantro', 'udon', 'salt', 'soy sauce', 'sesame seeds', 'vegetable oil', 'sesame oil', 'bok choy', 'ginger', 'onion', 'carrots', 'chicken broth', 'black cod fillets', 'black pepper', ' sherry', 'spice']",0,0,0,0,0,0
11,5399,113,japanese,"['milk', 'saffron', 'sugar', 'ghee', 'rose water', 'nuts', 'bread', 'cardamom']",1,0,1,0,0,0
12,39057,110,japanese,"['water', 'coriander powder', 'salt', 'onions', 'eggplant', 'chili powder', 'cumin seed', 'turmeric', 'tomato', 'garam masala', 'garlic', 'oil', 'cumin', 'ginger', 'potato', 'cilantro leaves', 'frozen peas']",1,1,0,1,0,0
13,18539,109,japanese,"['vegetable oil', 'cayenne pepper', 'eggs', 'cilantro', 'shrimp', 'paprika', 'garlic ', 'onion powder', 'salt', 'panko breadcrumbs']",0,0,0,0,0,0
