,cuisine,id,ingredients,Vegeterian (Y/N),Vegan (Y/N),Dessert (Y/N),Spicy (Y/N),Drink (Y/N),Alcohol (Y/N)
12399,thai,38988,"['fish sauce', 'basil leaves', 'cilantro leaves', 'sweet chili sauce', 'vegetable oil', 'red chili peppers', 'rice noodles', 'beansprouts', 'lime', 'sirloin steak']",0,0,0,1,0,0
27707,thai,39169,"['sake', 'oyster sauce', 'brown sugar', 'vegetable oil', 'spinach', 'minced garlic', 'medium shrimp', 'Thai chili paste', 'red bell pepper']",0,0,0,1,0,1
39114,thai,20852,"['potatoes', 'light coconut milk', 'chopped cilantro fresh', 'green bell pepper', 'Thai red curry paste', 'red bell pepper', 'vegetable oil', 'salt', 'brown sugar', 'cauliflower florets', 'onions']",1,1,0,1,0,0
14277,thai,7045,"['brown sugar', 'vegetables', 'vegetable stock', 'tamarind paste', 'sliced green onions', 'eggs', 'soy sauce', 'lime wedges', 'unsalted dry roast peanuts', 'peanut oil', 'chili flakes', 'fresh coriander', 'rice noodles', 'sauce', 'beansprouts', 'diced onions', 'baby bok choy', 'ground black pepper', 'garlic', 'chili sauce']",1,0,0,1,0,0
32685,thai,3125,"['Sriracha', 'dark sesame oil', 'snow peas', 'minced garlic', 'low sodium teriyaki sauce', 'spaghetti', 'lime wedges', 'hot water', 'large shrimp', 'dry roasted peanuts', 'creamy peanut butter', 'chopped cilantro fresh']",0,0,0,1,0,0
16195,korean,44706,"['medium-grain rice', 'cold water']",1,0,0,0,0,0
31736,korean,41513,"['vodka', 'all-purpose flour', 'cold water', 'sweet soy sauce', 'corn starch', 'kosher salt', 'peanut oil', 'chicken wings', 'baking powder']",0,0,0,0,0,1
31240,korean,47889,"['sugar', 'anchovy fillets', 'radishes', 'fresh ginger root', 'coarse kosher salt', 'Korean chile flakes', 'large garlic cloves']",1,1,0,1,0,0
27682,korean,284,"['cold water', 'pepper', 'cane sugar', 'ketchup', 'salt', 'carrots', 'stock', 'mirin', 'scallions', 'fishcake', 'Gochujang base', 'toasted sesame seeds']",0,,0,1,0,0
37983,korean,40896,"['baby bok choy', 'sesame seeds', 'sesame oil', 'basmati rice', 'eggs', 'strip steaks', 'miso paste', 'chili paste with garlic', 'soy sauce', 'shiitake', 'vegetable oil', 'spinach', 'beans', 'zucchini', 'carrots']",0,0,0,1,0,0
