,cuisine,id,ingredients,veg,vegan,dessert,spicy,drink,alcohol
26040,moroccan,34394,"['fresh thyme leaves', 'salt', 'fresh lemon juice', 'shallots', 'extra-virgin olive oil', 'cumin seed', 'flatbread', 'red wine vinegar', 'chickpeas', 'carrots', 'water', 'Italian parsley leaves', 'beets']",1,0,0,0,0,0
9563,moroccan,17322,"['cooking oil', 'lamb shoulder', 'couscous', 'fresh ginger', 'diced tomatoes', 'garlic cloves', 'ground turmeric', 'fresh coriander', 'sweet potatoes', 'purple onion', 'fresh dates', 'zucchini', 'paprika', 'cinnamon sticks']",0,0,0,0,0,0
34748,moroccan,4330,"['olive oil', 'sea salt', 'garlic cloves', 'chopped cilantro', 'steak tips', 'chili paste', 'ground coriander', 'ginger root', 'garlic powder', 'paprika', 'fresh lemon juice', 'ground cumin', 'cider vinegar', 'onion powder', 'freshly ground pepper', 'chopped parsley']",0,0,0,1,0,0
4747,moroccan,13215,"['ground black pepper', 'white wine vinegar', 'fresh parsley', 'kalamata', 'garlic cloves', 'ground cumin', 'fennel bulb', 'salt', 'plum tomatoes', 'vidalia onion', 'extra-virgin olive oil', 'fresh lemon juice']",1,1,0,0,0,0
32116,moroccan,20641,"['pita bread', 'olive oil', 'pumpkin', 'cinnamon sticks', 'lamb shanks', 'ground black pepper', 'salt', 'saffron', 'sugar', 'lavash', 'ras el hanout', 'onions', 'prunes', 'crushed tomatoes', 'unsalted butter', 'chickpeas']",0,0,0,0,0,0
12499,brazilian,42981,"['whole milk', 'sugar', 'condensed milk', 'eggs', 'vanilla extract', 'water']",1,0,1,0,0,0
3508,brazilian,21131,"['fresh cilantro', 'coarse salt', 'freshly ground pepper', 'cumin', 'cooked rice', 'ground black pepper', 'salt', 'fresh lime juice', 'tomatoes', 'olive oil', 'garlic', 'coconut milk', 'salmon', 'bell pepper', 'sweet paprika', 'onions']",1,0,0,0,0,0
18792,brazilian,21228,"['agave nectar', 'berries', 'yoghurt']",1,1,1,0,0,0
38265,brazilian,21101,"['superfine sugar', 'cachaca', 'sour cherries', 'fresh lime', 'ice']",1,1,0,0,1,1
26450,brazilian,7974,"['butter', 'salt', 'white rice']",1,1,0,0,0,0
16851,italian,7276,"['kosher salt', 'cherry tomatoes', 'pepper', 'pesto', 'spaghetti']",1,0,0,0,0,0
4667,italian,874,"['panko', 'all-purpose flour', 'boneless skinless chicken breast halves', 'milk', 'salt', 'flat leaf parsley', 'pepperoni slices', 'large eggs', 'shredded mozzarella cheese', 'tomato sauce', 'parmigiano reggiano cheese', 'freshly ground pepper', 'canola oil']",0,0,0,0,0,0
