,cuisine,id,ingredients
33445,filipino,9027,"['brown sugar', 'laurel leaves', 'garlic cloves', 'plum tomatoes', 'pepper', 'vinegar', 'red bell pepper', 'tomato sauce', 'stewing beef', 'carrots', 'baby potatoes', 'fish sauce', 'water', 'salt', 'onions']"
16325,filipino,33778,"['tomato paste', 'ground pepper', 'garlic', 'bay leaf', 'water', 'vegetable oil', 'cayenne pepper', 'ground cinnamon', 'chicken breasts', 'salt', 'onions', 'curry powder', 'ginger', 'coconut milk']"
16654,filipino,33753,"['brown sugar', 'white sugar', 'preserves', 'white rice', 'cold water', 'coconut milk']"
35027,filipino,12310,"['vanilla beans', 'coconut milk', 'sugar', 'flaked coconut', 'soy milk', 'fruit', 'small pearl tapioca']"
35549,filipino,20652,"['soy sauce', 'apple cider vinegar', 'garlic cloves', 'onions', 'coke', 'water', 'salt', 'lemon juice', 'ketchup', 'red pepper flakes', 'oyster sauce', 'brown sugar', 'ground black pepper', 'orange juice', 'pork shoulder']"
12152,jamaican,44581,"['fresh cilantro', 'egg noodles', 'heavy whipping cream', 'pepper', 'jerk paste', 'salt', 'chicken stock', 'olive oil', 'garlic', 'chopped cilantro fresh', 'lime', 'dry white wine', 'boneless skinless chicken breast halves']"
37578,jamaican,46410,"['shortening', 'dried thyme', 'dry bread crumbs', 'water', 'all-purpose flour', 'ground beef', 'pepper', 'salt', 'margarine', 'eggs', 'curry powder', 'beef broth', 'onions']"
15115,jamaican,4637,"['spring onions', 'ground allspice', 'onions', 'pepper', 'ginger', 'long grain brown rice', 'red kidney beans', 'sea salt', 'thyme', 'water', 'garlic', 'coconut milk']"
16351,jamaican,42682,"['fresh ginger', 'water', 'sugar', 'lime juice']"
21362,jamaican,27155,"['seasoning salt', 'onions', 'pepper', 'meat', 'curry powder', 'garlic', 'fresh thyme', 'allspice']"
29386,mexican,6268,"['cotija', 'cilantro', 'garlic powder', 'lime', 'sweet corn', 'mayonaise', 'chili powder']"
24516,mexican,22908,"['red wine vinegar', 'garlic cloves', 'honey', 'extra-virgin olive oil', 'ancho chile pepper', 'fresh orange juice', 'tamarind concentrate', 'black cod fillets', 'dry mustard', 'hot water']"
3101,mexican,19671,"['tomato paste', 'black beans', 'flour tortillas', 'chili powder', 'sour cream', 'canola oil', 'liquid smoke', 'tomato sauce', 'beef', 'low sodium chicken broth', 'all-purpose flour', 'fresh parsley', 'ground cumin', 'light brown sugar', 'chipotle chile', 'poblano peppers', 'seeds', 'garlic cloves', 'onions', 'cooked rice', 'unsalted butter', 'jalapeno chilies', 'boneless beef chuck roast', 'adobo sauce', 'shredded Monterey Jack cheese']"
20537,mexican,38838,"['unsalted butter', 'all-purpose flour', 'fire roasted diced tomatoes', 'onion powder', 'ground cumin', 'chicken stock', 'chili powder', 'unsweetened cocoa powder', 'garlic powder', 'salt']"
32111,mexican,11221,"['crushed tomatoes', 'lime wedges', 'carrots', 'dried oregano', 'hominy', 'garlic cloves', 'corn tortillas', 'olive oil', 'chopped celery', 'low salt chicken broth', 'chipotle chile', 'finely chopped onion', 'shrimp small uncook', 'chopped cilantro fresh']"
6253,indian,13855,"['garam masala', 'salt', 'ground cumin', 'spinach', 'ginger', 'cooking fat', 'coriander powder', 'yellow onion', 'pepper', 'garlic', 'ground turmeric']"
28592,indian,20211,"['olive oil', 'boneless skinless chicken breasts', 'salt', 'coriander', 'cooked rice', 'garam masala', 'butter', 'and fat free half half', '(   oz.) tomato paste', 'black pepper', 'jalapeno chilies', 'garlic', 'cardamom', 'chicken broth', 'fresh ginger', 'chili powder', 'yellow onion', 'chopped cilantro fresh']"
17870,indian,27253,"['clove', 'garam masala', 'kasuri methi', 'oil', 'ghee', 'ground ginger', 'chili powder', 'curds', 'cinnamon sticks', 'ground turmeric', 'fennel seeds', 'coriander powder', 'salt', 'cardamom', 'onions', 'tomatoes', 'spices', 'cumin seed', 'bay leaf', 'baby potatoes']"
9525,indian,43405,"['diced onions', 'half & half', 'salt', 'serrano chile', 'spinach', 'yoghurt', 'garlic cloves', 'chiles', 'ginger', 'ghee', 'nutmeg', 'soft tofu', 'cayenne pepper', 'ground cumin']"
37046,indian,48708,"['spinach', 'flour', 'cumin seed', 'asafetida', 'amchur', 'salt', 'rice flour', 'water', 'red pepper', 'oil', 'potatoes', 'green chilies', 'coriander']"
39545,korean,47041,"['boneless chicken skinless thigh', 'ginger', 'toasted sesame seeds', 'malt syrup', 'granulated sugar', 'garlic cloves', 'ground black pepper', 'scallions', 'soy sauce', 'vegetable oil', 'toasted sesame oil']"
18483,korean,48582,"['eggs', 'beef stock', 'rice cakes']"
27881,korean,24999,"['peperoncini', 'soy sauce', 'carpaccio', 'soybean sprouts', 'garlic cloves', 'brown sugar', 'zucchini', 'salt', 'rice', 'eggs', 'riso', 'crema', 'Gochujang base', 'carrots', 'fresh spinach', 'mushrooms', 'salsa', 'oil']"
