,cuisine,id,ingredients
17073,british,26456,"['black pepper', 'pastry dough', 'large egg yolks', 'salt', 'stilton', 'heavy cream', 'large eggs']"
25821,british,45446,"['white flour', 'sausages', 'salt', 'eggs', 'oil', 'milk']"
6354,british,36964,"['eggs', 'salt', 'water', 'beef drippings', 'all-purpose flour', 'milk']"
13173,british,18348,"['eggs', 'malt vinegar', 'white pepper', 'onions', 'dried split peas', 'salt', 'fresh rosemary', 'butter']"
1726,british,2433,"['bacon drippings', 'chopped fresh chives', 'onions', 'minced garlic', 'salt', 'black pepper', 'bacon', 'cabbage', 'potatoes', 'ham']"
36206,southern_us,43359,"['sugar', 'salt', 'baking powder', 'bread flour', 'unsalted butter', 'ramps', 'eggs', 'heavy cream']"
16747,southern_us,32128,"['water', 'puff pastry', 'unsalted butter', 'sugar', 'egg yolks', 'peaches']"
12139,southern_us,16504,"['milk', 'vegetable oil', 'cornmeal', 'saltines', 'minced onion', 'all-purpose flour', 'ground black pepper', 'salt', 'eggs', 'frogs legs', 'peanut oil']"
1194,southern_us,270,"['baking powder', 'cake flour', 'sugar', 'heavy cream', 'table salt', 'coarse salt', 'unsalted butter', 'cracked black pepper']"
21228,southern_us,4281,"['brandy', 'bourbon whiskey', 'egg yolks', 'milk', 'heavy cream', 'sugar', 'rum']"
7992,french,3832,"['olive oil', 'purple onion', 'fresh parsley', 'french bread', 'sherry wine', 'fresh thyme', 'salt', 'pepper', 'gruyere cheese', 'low sodium beef broth']"
25177,french,37513,"['dried tarragon leaves', 'nonfat yogurt', 'medium shrimp', 'water', 'light mayonnaise', 'shrimp and crab boil seasoning', 'green onions', 'creole mustard', 'olive oil', 'salt']"
26027,french,46298,"['fresh marjoram', 'olive oil', 'oil-cured black olives', 'all-purpose flour', 'warm water', 'fresh thyme', 'extra-virgin olive oil', 'anchovy fillets', 'sugar', 'unsalted butter', 'winter savory', 'yellow onion', 'active dry yeast', 'bay leaves', 'salt', 'freshly ground pepper']"
36183,french,13246,"['pepper', 'chives', 'olive oil', 'chopped parsley', 'pork tenderloin', 'rosemary', 'salt']"
17040,french,8325,"['sugar', 'nonfat dry milk powder', 'brown sugar', 'egg substitute', 'gingerroot', 'skim milk', 'vanilla extract', 'vegetable oil cooking spray', 'water']"
39634,mexican,32582,"['white onion', 'tomatoes', 'chile pepper', 'fresh cilantro', 'green bell pepper', 'fresh lemon juice']"
38345,mexican,21415,"['shredded cheddar cheese', 'green enchilada sauce', 'chicken broth', 'jalapeno chilies', 'corn tortillas', 'avocado', 'cooked turkey', 'red enchilada sauce', 'tomatoes', 'half & half', 'ground cumin']"
30203,mexican,43426,"['shredded cheddar cheese', 'cooked chicken', 'garlic salt', 'flour tortillas', 'salsa', 'leaves', 'chili powder', 'ground cumin', 'tomatoes', 'green onions', 'sour cream']"
1106,mexican,44019,"['frozen whole kernel corn', 'cornmeal', 'water', 'salt', 'masa harina', 'baking powder', 'white sugar', 'milk', 'margarine']"
10681,mexican,17612,"['dough', 'chili powder', 'water', 'ground cumin', 'tomato sauce', 'chicken', 'corn husks']"
24989,irish,39668,"['ground pepper', 'all-purpose flour', 'onions', 'lamb stew meat', 'carrots', 'new potatoes', 'beer', 'canola oil', 'dried thyme', 'coarse salt', 'fresh parsley']"
11143,irish,1487,"['bread', 'milk', 'butter', 'sugar', 'flour', 'shortcrust pastry', 'brown sugar', 'large eggs', 'currant', 'mixed spice', 'baking powder']"
19128,irish,28919,"['instant espresso powder', 'dark brown sugar', 'sugar', 'whipping cream', 'large egg whites', 'chocolate covered coffee beans', 'Irish whiskey']"
9732,irish,40038,"['olive oil', 'all-purpose flour', 'bay leaf', 'chicken stock', 'lamb shoulder', 'thyme', 'cold water', 'potatoes', 'carrots', 'onions', 'pepper', 'salt', 'chopped parsley']"
27932,irish,5483,"['ice cubes', 'cinnamon', 'irish cream liqueur', 'cold milk', 'rye whiskey']"
37867,russian,30809,"['horseradish', 'sour cream', 'black pepper']"
33076,russian,19101,"['clove', 'mayonaise', 'potatoes', 'apples', 'ham', 'cucumber', 'onions', 'green olives', 'water', 'chicken breasts', 'dill', 'carrots', 'celery', 'tomatoes', 'pepper', 'hard-boiled egg', 'salt', 'lemon juice', 'sour cream', 'capers', 'dijon mustard', 'peas', 'dill pickles', 'thyme', 'bay leaf']"
37135,russian,23133,"['green bell pepper', 'kidney beans', 'sour cream', 'dried parsley', 'water', 'salt', 'ground beef', 'tomato paste', 'olive oil', 'beer', 'onions', 'pepper', 'chili powder', 'celery', 'ground cumin']"
19451,russian,578,"['capsicum', 'chicken', 'tamarind juice', 'oil', 'ketchup', 'salt', 'teas', 'onions']"
24269,russian,1498,"['sugar', 'unsalted butter', 'salt', 'eggs', 'milk', 'raisins', 'sour cream', 'panettone', 'flour', 'lemon juice', 'powdered sugar', 'active dry yeast', 'vanilla']"
27138,jamaican,17387,"['brown sugar', 'ground nutmeg', 'peeled fresh ginger', 'chopped onion', 'white vinegar', 'black pepper', 'pork tenderloin', 'vegetable oil', 'garlic cloves', 'ground cinnamon', 'kosher salt', 'cooking spray', 'scotch bonnet chile', 'soy sauce', 'fresh thyme', 'green onions', 'ground allspice']"
31463,jamaican,28536,"['soy sauce', 'sweet potatoes', 'garlic', 'fillets', 'plum tomatoes', 'plain flour', 'lime juice', 'butter', 'oil', 'onions', 'water', 'spring onions', 'salt', 'chillies', 'ground cinnamon', 'fresh thyme', 'ginger', 'carrots', 'browning']"
34028,jamaican,26703,"['sugar', 'large eggs', 'all-purpose flour', 'crystallized ginger', 'vanilla extract', 'semi-sweet chocolate morsels', 'vegetable oil spray', 'coffee', 'coffee beans', 'pecans', 'unsalted butter', 'salt', 'unsweetened cocoa powder']"
36040,jamaican,32350,"['water', 'egg whites', 'onion powder', 'ground turmeric', 'garlic powder', 'old-fashioned oats', 'dri leav thyme', 'curry powder', 'low sodium chicken broth', 'cayenne pepper', 'lean ground meat', 'chili powder', 'five-spice powder']"
30877,jamaican,3172,"['curry powder', 'red pepper flakes', 'garlic', 'scallions', 'unsweetened coconut milk', 'ground black pepper', 'extra-virgin olive oil', 'baby carrots', 'dried thyme', 'diced tomatoes', 'salt', 'red kidney beans', 'sweet potatoes', 'vegetable broth', 'ground allspice']"
39177,spanish,7149,"['extra-virgin olive oil', 'green pumpkin seeds', 'chopped cilantro fresh', 'cooked rice', 'spanish chorizo', 'onions', 'hot red pepper flakes', 'cumin seed', 'frozen peas', 'salt', 'red bell pepper']"
17742,spanish,5671,"['potatoes', 'eggs', 'oil', 'pepper', 'onions', 'salt']"
35524,spanish,20752,"['Belgian endive', 'water', 'finely chopped fresh parsley', 'medium shrimp', 'pepper', 'dijon mustard', 'salt', 'sugar', 'ground black pepper', 'extra-virgin olive oil', 'vidalia onion', 'sherry vinegar', 'watercress', 'onions']"
27541,spanish,33169,"['large eggs', 'all-purpose flour', 'unsalted butter', 'salt', 'boiling potatoes', 'olive oil', 'fresh tarragon', 'flat leaf parsley', 'black pepper', 'chopped fresh chives', 'dry bread crumbs']"
1796,spanish,36179,"['hog casings', 'hungarian paprika', 'ancho powder', 'rioja', 'minced garlic', 'pork shoulder butt', 'spanish paprika', 'olive oil', 'smoked sweet Spanish paprika', 'fatback', 'kosher salt', 'ground black pepper', 'dry red wine']"
